Time,pt0,pt1,pt2
443.0,6.302,5.911495497901254,5.8911728894804565
444.0,6.302,5.925269002932794,5.908775105597953
445.0,6.302,5.913832386092768,5.90924384649157
447.0,6.302,5.91204184339893,5.910036029419394
448.0,6.302,5.897004110648089,5.892371189840801
449.0,6.302,5.929336313444033,5.923144749901788
450.0,6.302,5.910649748543576,5.904329984728259
452.0,6.302,5.916518640836753,5.9164300630332605
452.5,6.302,5.922926100635878,5.921963426369792
452.75,5.571999999999998,5.682048120808099,5.685094381567575
453.0,4.842000000000001,5.398077380863247,5.403402279043586
453.25,4.112000000000001,5.123708415004581,5.131246054810553
453.5,3.382,4.871446249770467,4.881681314786302
453.75,3.382,4.7828307357605695,4.794060822715241
454.0,3.382,4.696669562070106,4.708202550718574
455.0,3.382,4.448763809294778,4.459761609902835
