Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz,pt4_sigxx,pt4_sigyy,pt4_sigzz,pt4_sigxy,pt4_sigyz,pt4_sigxz
156.5,-3556886.136840428,-6743731.159943159,-3651927.3978893883,-1303093.219267098,0.49664660237707153,-0.3829714537113696,-5500216.845334607,-6500111.364076774,-2799807.1605980108,62.66861539927123,-0.4218952538749079,1.7768563042361052,-5499864.909183751,-6499847.192505728,-2800208.005476521,6.150587897605405,0.01614154521353663,0.007699438850612367,-5999869.695859266,-7000153.201081647,-3299920.6857738625,-139.37742279647907,0.010925321839983593,-0.005950516538719504,-5999865.934468101,-7000154.269742699,-3299919.610754459,-138.53496928612662,0.005617162257091794,-0.0061041604947690686
156.75,-3486138.6197981806,-6752581.097484527,-3682934.203464228,-1350525.702739709,0.5161525128796275,-0.39715332754106464,-5500242.47066268,-6500111.112533695,-2799793.080636491,78.11815358879133,-0.44709264248221103,1.8857234417057072,-5499860.287100886,-6499842.270546324,-2800214.907667248,6.1948110584600125,0.015535775034109143,0.007266940419799174,-5999865.409790194,-7000158.231873885,-3299918.074027899,-143.9708931386173,0.011284398816883314,-0.006145699245055851,-5999861.52450474,-7000159.3358936375,-3299916.9636649047,-143.10113125749018,0.0058025646004218594,-0.0063049291665557335
157.0,-3414024.2933235504,-6761631.310949631,-3714550.6514362567,-1398889.9663376953,0.5364016287772421,-0.4127934667427772,-5500269.469789235,-6500110.8147547785,-2799778.2705174047,94.4156821878639,-0.4735893986166957,2.0004426995740374,-5499855.439141022,-6499837.11064638,-2800222.1442123926,6.239670943112074,0.01494090700970041,0.006832167269873685,-5999860.918694311,-7000163.5037783915,-3299915.337512152,-148.78359869051604,0.011660665879614413,-0.0063502478302983265,-5999856.903594956,-7000164.644839969,-3299914.190112717,-147.88520134570538,0.005996799804131497,-0.006515302230343014
157.25,-3341851.2746578217,-6770689.997312698,-3746193.2585438862,-1447294.172077341,0.5566768845583726,-0.42849074183319547,-5500296.461101499,-6500110.529995335,-2799763.456036194,110.70070893599882,-0.5001024559014198,2.115254148320915,-5499850.578016596,-6499831.938056071,-2800229.3977821334,6.283842291411087,0.014391979328895813,0.006419815727261078,-5999856.4172840165,-7000168.787849579,-3299912.594731031,-153.60729530291658,0.01203779898163505,-0.006555270763241675,-5999852.272073883,-7000169.966036624,-3299911.4102100264,-152.68019392190752,0.0061914770321756666,-0.006726158701476161
157.5,-3269681.709818719,-6779748.106262865,-3777834.3132440127,-1495695.982785286,0.5769438589231959,-0.4441778859296033,-5500323.377879846,-6500110.261142581,-2799748.6722746613,126.93166658843552,-0.5265701541255794,2.2298788129996012,-5499845.71408862,-6499826.763707695,-2800236.6529732035,6.327280085497488,0.013889858730195603,0.006030783126224246,-5999851.9149940265,-7000174.072991666,-3299909.8514261795,-158.43189470232792,0.012415007781787696,-0.00676033537203258,-5999847.639648657,-7000175.288310292,-3299908.629776368,-157.47608176807142,0.006386189569213453,-0.006937056134404306
160.0,-3268191.9817139176,-6779955.66367212,-3778496.760379764,-1496705.6097026253,0.5761003329146678,-0.4442553029311345,-5500309.462469285,-6500113.8036772795,-2799754.0639415933,116.4983908922695,-0.5188292590510102,2.1948514172953963,-5499845.405560555,-6499826.123160483,-2800237.340372004,6.5014096057862725,0.015186350693737125,0.00668276453636674,-5999851.443670779,-7000174.633817566,-3299909.5669148252,-158.9288386857455,0.012454721952670552,-0.00678228652679761,-5999847.154852086,-7000175.85283704,-3299908.3413597792,-157.96965767422853,0.006405981483851734,-0.0069591383104736886
170.0,-3266820.515582463,-6780117.031344988,-3779100.8485553083,-1497618.6813603474,0.5703266139796833,-0.43980251485362,-5500251.447809828,-6500127.669633152,-2799777.108380704,73.54400897373168,-0.484623189180418,2.039071984741696,-5499845.165473799,-6499824.4469378255,-2800238.849197857,7.289418374059174,0.017554341535362984,0.008010063655720163,-5999850.296691987,-7000176.007584262,-3299908.8778375187,-160.12839237017232,0.012551604195877378,-0.006836274202050803,-5999845.9752562195,-7000177.235389248,-3299907.6427514283,-159.16058283769195,0.006453417908465542,-0.007012871001799942
180.0,-3265567.235384802,-6780264.771970851,-3779652.5878974916,-1498453.3019137615,0.5646485946670509,-0.43542851438746283,-5500196.897234863,-6500140.783585402,-2799798.656997679,33.108607617535625,-0.4519790191457602,1.889409050415793,-5499845.1635859385,-6499822.891666229,-2800240.1910674013,8.154285321068532,0.017969017660029972,0.008299816044538114,-5999849.230175964,-7000177.285005906,-3299908.2372984006,-161.24357704223846,0.01264162677259541,-0.006886463468186416,-5999844.878396422,-7000178.520987154,-3299906.993339359,-160.2677434380929,0.006497484288467835,-0.0070628173004566325
190.0,-3264390.814622515,-6780403.692906258,-3780170.241635037,-1499236.9136300099,0.5590485396444176,-0.4311180413639056,-5500145.057343281,-6500153.300597758,-2799819.020824457,-5.351481053527607,-0.4204763817068553,1.7446085120945298,-5499845.280544786,-6499821.410033821,-2800241.4272574796,9.050244793301731,0.017906850609497916,0.008287916100333498,-5999848.216447958,-7000178.499175609,-3299907.6286073006,-162.30343838518297,0.012727142805034387,-0.006934157915009728,-5999843.835817525,-7000179.742930998,-3299906.3762079994,-161.31997723078402,0.006539339726608275,-0.007110277683852522
200.0,-3263279.7462689406,-6780535.131270686,-3780658.895368552,-1499977.1565389181,0.5535265452210123,-0.4268706171819947,-5500095.8490668805,-6500165.233287818,-2799838.226222552,-41.89143531181736,-0.39003622005694893,1.604584157006613,-5499845.480954482,-6499819.988226882,-2800242.574547371,9.963479681806751,0.017815386374850292,0.008222138615089962,-5999847.247866559,-7000179.659230687,-3299907.047156502,-163.31599567029212,0.012808799805602091,-0.006979716315652199,-5999842.839663154,-7000180.910414719,-3299905.786687616,-162.32524574843077,0.006579303704206471,-0.00715561067678913
