Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz
99.75,-4290235.996933029,-6643340.023137758,-3333553.8517925176,-807822.5894932337,-123.7540959915467,-397.2356133010992,-6077959.78632736,-7080035.686324033,-3344360.356832845,34936.849547816775,-65.73149500492683,83.85437701928839,-6077473.674368711,-7079542.227455459,-3344282.1429720945,34145.35969817266,-9.585315106070853,16.697954949265743,-4868846.83771436,-6578813.642794634,-3076306.873301662,-423087.90687470394,-5.716639659718456,21.090797878611216
100.0,-4032199.2511046613,-6673521.605813036,-3447502.806850141,-979947.2257719932,-137.17087805961086,-482.8972707250065,-6109253.87056088,-7109021.643162658,-3359990.8715269715,48944.39828165771,-87.76804406958357,113.22096331076769,-6108519.0001385305,-7108420.419568737,-3359900.7080050763,47856.4050613392,-14.020723364640265,23.863613426640562,-4856890.860822332,-6580262.9183824165,-3081581.2710545603,-431066.85981220595,-1.7648081016533759,12.705610945960636
100.25,-3758584.5334718833,-6706313.950556528,-3567984.52886036,-1162794.0439127926,-157.78782739621158,-510.01314583583917,-6140559.379051064,-7134879.392254684,-3376413.2939201687,59785.89863185267,-102.23794750864269,133.8143191890909,-6139677.874939363,-7134211.507059061,-3376358.917689418,58471.886291541385,-17.12615661719647,28.575287952345903,-4820359.390777026,-6584769.324167662,-3097631.3475621683,-455501.5568283901,2.5024236035977103,0.9172570456247873
100.5,-3472018.834900466,-6741116.245463145,-3693969.293007083,-1354489.7831781006,-186.4086720290071,-512.9862764723778,-6167668.062098818,-7156516.810026908,-3391782.650040477,67596.06045742039,-111.19275761500452,146.4404888869152,-6166722.21461632,-7155807.999327274,-3391770.6631476087,66132.20698702672,-18.76336044656832,31.046798876381942,-4731938.602072092,-6595762.754028757,-3136403.7049922147,-514709.16676373704,2.085757553444586,7.009273448475561
110.0,-3336086.146588435,-6762793.54296332,-3751069.255587569,-1447599.8318657824,-133.97642738783333,-334.4841607613132,-6113541.521114837,-7103108.825683041,-3365848.239784105,40203.447520302754,-62.39589530262643,79.43769217890174,-6113217.5357605405,-7102716.153820269,-3365841.469990873,39411.11588059779,-9.389146765739174,16.062269360627887,-3989191.883907654,-6688713.941173293,-3461297.3484219084,-1012825.6397676471,-12.672085546696271,39.39413959281671
120.0,-3317995.939375408,-6765565.811791227,-3758676.410515678,-1459990.5179287232,-125.28063697209456,-315.49572013326804,-6103285.2162725115,-7093862.229372027,-3359551.133188334,36768.342256893055,-57.30442918796214,72.60254240678316,-6103034.6891624415,-7093505.762979515,-3359555.519164604,36047.539518667334,-8.514715392990638,14.649059779526521,-3901214.2061624005,-6699692.728337864,-3499751.6490065516,-1071832.9856413137,-9.185335415751156,29.211264620986842
140.0,-3303854.165684662,-6767814.932179052,-3764565.020404809,-1469700.7688940393,-117.4827138966782,-297.74128618167356,-6096221.473397659,-7087258.446929503,-3354865.50467393,34093.58219666644,-52.9685034010525,66.8380346989282,-6096032.220035657,-7086934.02912221,-3354880.5197276776,33432.510337921274,-7.790704720361608,13.462444795653555,-3831473.6279167794,-6708437.2348024575,-3530199.7141208774,-1118594.4709968818,-6.94396729822284,22.54897245232927
150.0,-3299923.428359119,-6768488.979146957,-3766173.1170085347,-1472392.1412903469,-114.97207426665665,-291.9133199330572,-6094664.359803723,-7085840.0407294445,-3353778.5628976123,33294.90536119029,-51.61669309530486,65.05056746252524,-6094493.708009292,-7085525.818378389,-3353797.0052012075,32652.310472276382,-7.568449595821303,13.094985279027572,-3810877.600858239,-6711054.219005462,-3539171.7809876106,-1132382.0757458461,-6.360179255644296,20.806863900282423
156.5,-3297935.774180085,-6768848.39585143,-3766975.878601379,-1473748.340643708,-113.56933332389673,-288.7828729916828,-6094001.406284235,-7085289.771884434,-3353310.6653211676,32857.28635008696,-50.891343169039445,64.0930071013776,-6093840.448420449,-7084981.00238575,-3353331.017914929,32224.55921021441,-7.449778817178525,12.89797736744178,-3800072.1790573434,-6712441.415000712,-3543871.116358018,-1139606.7837382115,-6.064066555722697,19.94246017039961
156.75,-3228021.138618231,-6776770.572869316,-3798002.572761256,-1520283.057983546,-126.1425440234134,-329.58512203309715,-6100479.114830814,-7092405.434049458,-3356824.7230702173,36236.42168509709,-57.69455842875722,72.74018395182733,-6100251.650012574,-7092041.928872776,-3356829.083683052,35518.43429444597,-8.462939952991496,14.661432339229897,-3790600.676194608,-6713617.799818326,-3548024.7229658314,-1145947.9217166938,-5.868217609773699,19.870516147214975
