Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz,pt10_ux,pt10_uy,pt10_uz
99.75,2.8034194351145664e-07,-8.31166424049055e-08,0.0,-2.573657531044596e-05,1.2445669842034549e-05,0.0,2.5697750894089046e-05,-1.2395404656316968e-05,0.0,3.403009748276356e-07,6.55561288228145e-07,0.0,-2.8098124589738097e-05,1.3086284820837676e-05,0.0,2.7912712788027823e-05,-1.3035134307211677e-05,0.0,-1.6586601483994562e-05,8.202378027428354e-06,0.0,1.697787914906051e-05,-7.446465337287789e-06,0.0,-3.465527990353981e-08,2.0852039449238286e-08,7.398892994656334e-07,-1.651880029977354e-05,7.7144853502361e-06,7.668386705716803e-07,1.6531108644135953e-05,-7.710882840189014e-06,7.55272567223769e-07
100.0,3.26685591136056e-07,-9.217034883263829e-08,0.0,-3.0418647918763643e-05,1.4804690536977638e-05,0.0,3.036246283486691e-05,-1.4736993576119687e-05,0.0,4.0646570581217717e-07,7.503299309720554e-07,0.0,-3.360504641056042e-05,1.5646810887923647e-05,0.0,3.335157709548567e-05,-1.5578918048504004e-05,0.0,-1.6928964859481697e-05,8.39664365107999e-06,0.0,1.7348763439009148e-05,-7.583479665646204e-06,0.0,-8.360942109449864e-08,3.9735173504137986e-08,8.379884407588035e-07,-1.6598621731486508e-05,7.74918670320158e-06,8.759060271961559e-07,1.6616896053272463e-05,-7.756400233832275e-06,8.526775416907925e-07
100.25,3.4284031158822455e-07,-8.999747798454453e-08,0.0,-3.620540512269613e-05,1.75918792352463e-05,0.0,3.614082557401596e-05,-1.751140022406677e-05,0.0,5.174257912297024e-07,9.261003640296214e-07,0.0,-3.992138149202559e-05,1.858791463304153e-05,0.0,3.961717584441694e-05,-1.8504914220588357e-05,0.0,-1.7936631448546333e-05,8.893316172495995e-06,0.0,1.838260829483565e-05,-8.036232587456702e-06,0.0,-1.5020254820976934e-07,6.145238775610554e-08,1.0178537027358527e-06,-1.7118629993088832e-05,7.982484943520462e-06,1.0791849176524583e-06,1.71395404684328e-05,-8.009728195368651e-06,1.036148403384482e-06
100.5,3.6413387657231316e-07,-9.191635256842207e-08,0.0,-4.28343251373546e-05,2.0713983043737815e-05,0.0,4.276780797754479e-05,-2.0625013412933866e-05,0.0,6.641936674919957e-07,1.1962165887459668e-06,0.0,-4.688147281233803e-05,2.1831606940654394e-05,0.0,4.6540938811187046e-05,-2.1735506527979108e-05,0.0,-2.028250021843191e-05,1.0002562642305407e-05,0.0,2.07506516781054e-05,-9.121491874254573e-06,0.0,-1.6824653365625072e-07,6.284321763546305e-08,1.3028769881529568e-06,-1.8899694185838834e-05,8.807152337844115e-06,1.3951474289287245e-06,1.8919093117168323e-05,-8.847637980406898e-06,1.33499290159508e-06
110.0,2.7500622650041917e-07,-7.450933405803014e-08,0.0,-5.141657526696011e-05,2.431275478154592e-05,0.0,5.138771400428637e-05,-2.4251394011692785e-05,0.0,6.839163509202783e-07,1.1937900083156177e-06,0.0,-5.3649853701030814e-05,2.501091583326307e-05,0.0,5.345002634915501e-05,-2.493742090360282e-05,0.0,-3.9795025985152765e-05,1.949315978971336e-05,0.0,4.062104520338346e-05,-1.8002538065030704e-05,0.0,-4.44309946588544e-08,2.918534195518517e-08,1.36141438051871e-06,-3.988704720370568e-05,1.861659599122148e-05,1.4082614995891287e-06,3.990347980969718e-05,-1.8607394611244648e-05,1.391407616507191e-06
120.0,2.714598549622041e-07,-7.488251573672252e-08,0.0,-5.2471955147482475e-05,2.4784668017024325e-05,0.0,5.244457638494272e-05,-2.4724427299112576e-05,0.0,6.547675808058335e-07,1.0093650881084977e-06,0.0,-5.451162166094996e-05,2.5414405029831307e-05,0.0,5.432925009221289e-05,-2.534359894947094e-05,0.0,-4.219288918780207e-05,2.0514082310973308e-05,0.0,4.304723468917816e-05,-1.9228159195075917e-05,0.0,-3.19792851365129e-08,2.535611531292025e-08,1.1126937044956712e-06,-4.2383419022462145e-05,1.9783128712722735e-05,1.152040289839735e-06,4.2400680835673294e-05,-1.977038138419835e-05,1.1368837782917299e-06
140.0,2.694347288439477e-07,-7.909501278005877e-08,0.0,-5.334585344223984e-05,2.5148308107789103e-05,0.0,5.331790599536595e-05,-2.5094914628929997e-05,0.0,7.665290854341705e-07,8.868756998803726e-07,0.0,-5.5201857504570344e-05,2.5725411208774566e-05,0.0,5.503115311539153e-05,-2.5661225550341608e-05,0.0,-4.395571451732102e-05,2.1325264754547028e-05,0.0,4.508780139355709e-05,-2.0165959199844e-05,0.0,-1.589821458427705e-08,1.608772694737451e-08,8.409136187064367e-07,-4.4353806816600976e-05,2.0699498599778187e-05,8.747957764069777e-07,4.436855560980323e-05,-2.06891257521954e-05,8.612778784023956e-07
150.0,2.6856859335980896e-07,-8.201904335594197e-08,0.0,-5.36132984217231e-05,2.5241417830322934e-05,0.0,5.3584343815804766e-05,-2.5193077483893387e-05,0.0,8.727695315388767e-07,8.893114144334277e-07,0.0,-5.540185026441731e-05,2.5808473614743016e-05,0.0,5.523364093072498e-05,-2.5748593704343942e-05,0.0,-4.440296752271033e-05,2.1594873064622032e-05,0.0,4.5757801157954765e-05,-2.0397374640105188e-05,0.0,-1.0549899350311437e-08,1.1329272927675036e-08,7.464634725868053e-07,-4.49347508378194e-05,2.09668286094099e-05,7.788093679601789e-07,4.4947453435251676e-05,-2.0960031832269265e-05,7.657873893142634e-07
156.5,2.686956752110655e-07,-8.438223836644016e-08,0.0,-5.375748664173727e-05,2.528448119967835e-05,0.0,5.372772252971546e-05,-2.5239699192013444e-05,0.0,9.595906682600524e-07,9.082657452345088e-07,0.0,-5.550578777282186e-05,2.5848996965588593e-05,0.0,5.53386291153876e-05,-2.5792056852332002e-05,0.0,-4.4609066281653376e-05,2.1752092354799594e-05,0.0,4.613739110445175e-05,-2.0497849773084392e-05,0.0,-6.94082063091246e-09,7.925967503339435e-09,6.935400676554594e-07,-4.5239289711703675e-05,2.1105972243500845e-05,7.250925094389651e-07,4.5250514113704064e-05,-2.1101928586635157e-05,7.123369805501907e-07
156.75,3.018431766904175e-07,-9.540357392704847e-08,0.0,-5.4943583337180574e-05,2.588851775059052e-05,0.0,5.490869877851848e-05,-2.5838820241522624e-05,0.0,9.815022242460928e-07,9.378572454362994e-07,0.0,-5.693871116146622e-05,2.6514645913141533e-05,0.0,5.6753183815525155e-05,-2.645377586982861e-05,0.0,-4.4857228093132504e-05,2.188063633214049e-05,0.0,4.6401186873025394e-05,-2.0607059913964765e-05,0.0,-1.1980253774530677e-08,9.871840660961806e-09,7.232131474459368e-07,-4.544048998683877e-05,2.1199875500828063e-05,7.572803182964696e-07,4.5452869932159584e-05,-2.119719618237971e-05,7.426948461054563e-07
