Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz
100.0,-3.439843319650075e-05,1.7067075325601203e-05,-1.6075662463705274e-11,3.4399998435816046e-05,-1.7065855955671224e-05,-1.606871203643833e-11,-4.140863719402616e-05,1.930926618899097e-05,1.6702565494588806e-11,4.1413664371791154e-05,-1.9311490872379757e-05,1.6703375728329322e-11,8.525191500254716e-08,1.8930398279697928e-07,3.931468574861806e-13,9.064992154011437e-08,1.8674303799598662e-07,3.931959769488011e-13,7.099594422129227e-09,-3.285021501487401e-09,2.012202365112081e-07,-7.112416717581499e-09,3.3174095621186694e-09,2.01274083792973e-07,-1.9348209988792903e-08,5.466054893667084e-08,-2.7233409149711603e-14,1.934523432904529e-08,-5.473688652148572e-08,-2.7293966520174012e-14
100.25,-4.120327148890291e-05,2.0438881568617906e-05,-1.9330885710311656e-11,4.1205240859414224e-05,-2.0437368151236175e-05,-1.9322662102332216e-11,-4.9371293213039215e-05,2.302236863487014e-05,1.9772173563946975e-11,4.9377293696141034e-05,-2.3025036667372847e-05,1.9773624300852537e-11,1.0146798406574944e-07,2.253518012316343e-07,4.678666128618812e-13,1.079245960100125e-07,2.2229062851246802e-07,4.679345695173425e-13,9.861644563665035e-09,-4.568368403275413e-09,2.396742068003508e-07,-9.87726306466084e-09,4.609074738013695e-09,2.3974122046565497e-07,-2.3038932666105383e-08,6.509215477902977e-08,-3.242948792389307e-14,2.3035400285837633e-08,-6.518306688953286e-08,-3.2501600735747925e-14
100.5,-4.7924606356552625e-05,2.3774503756403917e-05,-2.2593331531390606e-11,4.792696898338896e-05,-2.3772705914119157e-05,-2.2583907254872006e-11,-5.7291735670720764e-05,2.6715781141925057e-05,2.2856982795336015e-11,5.729870248082897e-05,-2.6718887285286165e-05,2.2858977753464422e-11,1.1748491627334256e-07,2.609572065133859e-07,5.416660372014951e-13,1.2498732847402397e-07,2.574017995523809e-07,5.417521404110249e-13,1.2576271780851561e-08,-5.829653383733476e-09,2.776574818018558e-07,-1.2594646291204982e-08,5.878552541758583e-09,2.77737463809627e-07,-2.668443493938421e-08,7.53960244036342e-08,-3.756192962242798e-14,2.6680351904822558e-08,-7.550133112677811e-08,-3.7645455458475085e-14
110.0,-4.8483705545230966e-05,2.398551679711679e-05,-2.2062943387043895e-11,4.848601500853462e-05,-2.3983694038944558e-05,-2.2052420898411072e-11,-5.755344822331117e-05,2.6837830972777487e-05,2.276900524957196e-11,5.7560461969476377e-05,-2.684096323278809e-05,2.2771480244258875e-11,1.1982103126140713e-07,2.6613690883486424e-07,5.52584668292802e-13,1.2746273282990394e-07,2.6251053281761455e-07,5.526361288110965e-13,1.10101227797067e-08,-5.098469006521844e-09,2.8292997273701444e-07,-1.1028548548147276e-08,5.145447266155714e-09,2.8300787331985346e-07,-2.720211602904098e-08,7.685013148348831e-08,-3.828841840156853e-14,2.7197937399488776e-08,-7.695746108398424e-08,-3.837355875732467e-14
120.0,-4.86063781766711e-05,2.401185956201714e-05,-2.164383408974304e-11,4.860860325320487e-05,-2.4010060160407816e-05,-2.1632703348599123e-11,-5.7598255668397375e-05,2.6858713666009975e-05,2.275622079272567e-11,5.760527910025612e-05,-2.6861847294369322e-05,2.2758689750151838e-11,1.2105052603192718e-07,2.6881682069029183e-07,5.58361403977093e-13,1.2872939417509049e-07,2.651697770143921e-07,5.583981140097597e-13,9.254537889450915e-09,-4.279145486135508e-09,2.85572637748345e-07,-9.27269755881597e-09,4.323731161673543e-09,2.8564747531356135e-07,-2.7466134847839427e-08,7.75883297478482e-08,-3.865804119200703e-14,2.746190486182269e-08,-7.769669109628531e-08,-3.874400750708541e-14
140.0,-4.881142476283877e-05,2.4056422474368736e-05,-2.0962996979331383e-11,4.881352864972571e-05,-2.4054665221463394e-05,-2.09509450139969e-11,-5.767426686162055e-05,2.6894143639247872e-05,2.2727968320214703e-11,5.768130495098972e-05,-2.689728227340489e-05,2.273041405284334e-11,1.2321635663837025e-07,2.73480023941212e-07,5.684796206078571e-13,1.3091706074127116e-07,2.6981950654742365e-07,5.685097777240745e-13,6.058650650192682e-09,-2.787482496293743e-09,2.901903425962108e-07,-6.076134665599542e-09,2.827801497066594e-09,2.902594045625298e-07,-2.7926736378163164e-08,7.887600248692121e-08,-3.930262690301162e-14,2.79224318184697e-08,-7.898618944891404e-08,-3.939004887851688e-14
150.0,-4.890559964921382e-05,2.4077054794283233e-05,-2.0653963541657415e-11,4.890765198175246e-05,-2.4075317476376604e-05,-2.0641511187551794e-11,-5.770948652347529e-05,2.6910560814621767e-05,2.2713077100729425e-11,5.7716531019834415e-05,-2.6913702339354804e-05,2.2715509063608456e-11,1.242376260602884e-07,2.7566835503475905e-07,5.732355484814003e-13,1.3194062373203408e-07,2.72005619308752e-07,5.732651314019303e-13,4.537254383716316e-09,-2.077341268005736e-09,2.9236217081060777e-07,-4.554376188843462e-09,2.1156409625815456e-09,2.924284285888941e-07,-2.8143126060756307e-08,7.948091594910565e-08,-3.9605385403388724e-14,2.813878958901811e-08,-7.959196576906614e-08,-3.969349412886807e-14
156.5,-4.896368240690835e-05,2.4089853799638343e-05,-2.0464594756254666e-11,4.896570441446582e-05,-2.4088128966095612e-05,-2.045190442732857e-11,-5.773134042974976e-05,2.6920747954893716e-05,2.2703070777775636e-11,5.773838875756063e-05,-2.69238914827069e-05,2.2705493032826544e-11,1.2487811220680926e-07,2.7703721906533824e-07,5.762118671116237e-13,1.3257985301965493e-07,2.733744617606466e-07,5.762416626669667e-13,3.58007166962417e-09,-1.6305419365820579e-09,2.9372269672487444e-07,-3.5969501162952915e-09,1.667573797423875e-09,2.937871660576085e-07,-2.8278569906611127e-08,7.985953535494797e-08,-3.97948616059705e-14,2.8274214588316376e-08,-7.99711271096383e-08,-3.98834011890136e-14
156.75,-5.0676025025108885e-05,2.4947723086370938e-05,-2.1368344392568868e-11,5.067813851836606e-05,-2.4945935194123753e-05,-2.1355436402949138e-11,-5.983382315555791e-05,2.7901156801598757e-05,2.356890490776551e-11,5.984112520578415e-05,-2.7904412359155894e-05,2.357133159789468e-11,1.2896358195998138e-07,2.8611682562787037e-07,5.950300269132585e-13,1.3693029049561053e-07,2.8232884087702637e-07,5.950646473521458e-13,4.2365040643031465e-09,-1.935459057513463e-09,3.034107111808598e-07,-4.254065138833192e-09,1.9745276449652356e-09,3.0347839506720054e-07,-2.9208331463319255e-08,8.248755163137452e-08,-4.110388149622682e-14,2.9203834961809172e-08,-8.260281336492519e-08,-4.119533106965474e-14
157.0,-5.246801244041717e-05,2.583980574698208e-05,-2.2261598388470066e-11,5.2470226917025545e-05,-2.583794584641179e-05,-2.2248399869151948e-11,-6.1976351270104e-05,2.8900244434349705e-05,2.4420371472261803e-11,6.198391369868492e-05,-2.8903616942325264e-05,2.4422893471231012e-11,1.3324519600199714e-07,2.9563267257992985e-07,6.147559434522447e-13,1.4148982654146243e-07,2.9171333940154825e-07,6.147955676469257e-13,4.9285579916379406e-09,-2.256936039064963e-09,3.1356108382609034e-07,-4.946840877338715e-09,2.2981451920634912e-09,3.136321553981008e-07,-3.0182592397847605e-08,8.52412147519003e-08,-4.24755128962165e-14,3.0177948523971316e-08,-8.536032317027874e-08,-4.2570012457149735e-14
